Fight_ID|Fight_Date|Gender|Weight_Class|Title_Fight|Result|Method|Round|Time|Fight_Time_Format|Fighter_1_Name|Fighter_1_Nickname|Fighter_1_Age|Fighter_1_Wins|Fighter_1_Loses|Fighter_1_Draws|Fighter_1_Avg_Time(MINS)|Fighter_1_Height|Fighter_1_Reach|Fighter_1_Stance|Fighter_1_Sign_SLpMin|Fighter_1_Str_Acc|Fighter_1_Sign_SApMin|Fighter_1_Defense|Fighter_1_Takedown_Avgp15M|Fighter_1_Takedown_Acc|Fighter_1_Takedown_Def|Fighter_1_Sub_Avgp15M|Fighter_2_Name|Fighter_2_Nickname|Fighter_2_Age|Fighter_2_Wins|Fighter_2_Loses|Fighter_2_Draws|Fighter_2_Avg_Time(MINS)|Fighter_2_Height|Fighter_2_Reach|Fighter_2_Stance|Fighter_2_Sign_SLpMin|Fighter_2_Str_Acc|Fighter_2_Sign_SApMin|Fighter_2_Defense|Fighter_2_Takedown_Avgp15M|Fighter_2_Takedown_Acc|Fighter_2_Takedown_Def|Fighter_2_Sub_Avgp15M
1|1999-07-16|male|middleweight|False|win| KO/TKO |2|1:19|3Rnd(5-5-5)|Eugene Jackson|The Wolf|33.0|12|5|1|6.316666666666666|"5' 8"""||Orthodox|3.324538258575198|45.65217391304348|1.741424802110818|57.692307692307686|0.0|0.0|75.0|2.37467018469657|Royce Alger|No_Nickname||3|1|0|6.316666666666666|"5' 10"""||Orthodox|1.741424802110818|42.30769230769231|3.324538258575198|54.347826086956516|4.74934036939314|25.0|0.0|0.0
2|1999-07-16|male|middleweight|False|win| Submission |1|4:20|3Rnd(5-5-5)|Paul Jones|No_Nick|36.0|10|0|1|4.333333333333333|"5' 9"""||Orthodox|4.846153846153847|60.0|0.23076923076923078|50.0|0.0|0.0|0.0|6.923076923076923|Flavio Luiz Moura|No_Nickname||19|6|0|4.333333333333333|"5' 11"""||Open Stance|0.23076923076923078|50.0|4.846153846153847|40.0|0.0|0.0|0.0|0.0
3|1999-07-16|male|heavyweight|False|win| KO/TKO |1|5:00|3Rnd(5-5-5)|Maurice Smith|No_Nick|38.0|10|13|0|5.0|"6' 2"""||Orthodox|0.8|100.0|0.2|0.0|0.0|0.0|0.0|0.0|Marco Ruas|King of the Streets|38.0|9|3|2|5.0|"6' 1"""||Orthodox|0.2|100.0|0.8|0.0|3.0|100.0|0.0|6.0
4|1999-07-16|male|middleweight|False|win| KO/TKO |1|4:41|3Rnd(5-5-5)|Jeremy Horn|Gumby|24.0|86|17|5|4.683333333333334|"6' 1"""|"74"""|Orthodox|7.473309608540925|59.32203389830508|0.0|100.0|0.0|0.0|100.0|0.0|Daiju Takase|No_Nickname|21.0|12|12|2|4.683333333333334|"6' 0"""||Southpaw|0.0|0.0|7.473309608540925|40.67796610169492|0.0|0.0|0.0|0.0
5|1999-07-16|male|heavyweight|False|win| KO/TKO |2|5:00|3Rnd(5-5-5)|Tsuyoshi Kohsaka|TK|29.0|26|17|2|10.0|"5' 11"""||Orthodox|1.1|78.57142857142857|1.2|61.29032258064516|0.0|0.0|0.0|4.5|Tim Lajcik|The Bohemian|34.0|7|5|0|10.0|"6' 1"""||Orthodox|1.2|38.70967741935484|1.1|21.42857142857143|0.0|0.0|100.0|0.0
6|1999-07-16|male|welterweight|True|win| TKO - Doctor's Stoppage |2|1:34|5Rnd(5-5-5-5-5)|Pat Miletich|The Croatian Sensation|31.0|25|5|2|6.566666666666666|"5' 10"""||Orthodox|1.9796954314720814|30.952380952380953|1.5228426395939088|47.36842105263158|0.0|0.0|100.0|0.0|Andre Pederneiras|No_Nickname|32.0|1|0|2|6.566666666666666|"5' 8"""||Orthodox|1.5228426395939088|52.63157894736842|1.9796954314720814|69.04761904761905|0.0|0.0|0.0|0.0
7|1999-09-24|male|heavyweight|False|win| KO/TKO |1|0:30|3Rnd(5-5-5)|Brad Kohler|No_Nick|35.0|11|15|0|0.5|"5' 9"""||Orthodox|6.0|100.0|0.0|0.0|30.0|100.0|0.0|0.0|Steve Judson|No_Nickname||0|0|0|0.5|"5' 11"""||Orthodox|0.0|0.0|6.0|0.0|0.0|0.0|0.0|0.0
8|1999-09-24|male|middleweight|False|win| TKO - Doctor's Stoppage |1|3:53|3Rnd(5-5-5)|Chuck Liddell|The Iceman|30.0|6|2|0|3.8833333333333333|"6' 2"""|"76"""|Orthodox|3.347639484978541|46.42857142857143|1.2875536480686696|28.57142857142857|0.0|0.0|100.0|0.0|Paul Jones|No_Nickname|36.0|11|0|1|4.333333333333333|"5' 9"""||Orthodox|4.846153846153847|0.6|0.23076923076923078|50.0|0.0|0.0|0.0|6.923076923076923
9|1999-09-24|male|heavyweight|False|win| Submission |1|2:08|3Rnd(5-5-5)|Jeremy Horn|Gumby|24.0|87|17|5|4.683333333333334|"6' 1"""|"74"""|Orthodox|7.473309608540925|0.5932203389830508|0.0|100.0|0.0|0.0|100.0|0.0|Jason Godsey|No_Nickname||16|15|0|2.1333333333333333|"6' 2"""||Orthodox|0.46875|14.285714285714285|1.40625|25.0|7.03125|100.0|0.0|0.0
10|1999-09-24|male|middleweight|False|win| KO/TKO |3|0:13|3Rnd(5-5-5)|John Lewis|No_Nick||2|3|3|10.216666666666667|"6' 0"""||Southpaw|1.9575856443719413|32.78688524590164|0.8809135399673735|72.72727272727273|1.468189233278956|100.0|100.0|0.0|Lowell Anderson|No_Nickname||0|0|0|10.216666666666667|"5' 6"""||Orthodox|0.8809135399673735|27.27272727272727|1.9575856443719413|67.21311475409837|0.0|0.0|0.0|0.0
