Virgil Zwicker|15|6|1|"6' 2"""|205 lbs.|"74"""|No Stat|Jun 26, 1982|3.34|48%|4.87|39%|1.31|30%|50%|0.0
Xiao Long|16|7|0|"5' 8"""|135 lbs.|"66"""|Orthodox|Apr 13, 1998|5.20|40%|5.07|58%|0.00|0%|0%|0.0
Wu Yanan|11|4|0|"5' 8"""|125 lbs.|"66"""|Orthodox|Apr 18, 1996|4.51|45%|4.82|51%|0.61|22%|66%|0.3
Milco Voorn|20|11|1|No Stat|220 lbs.|No Stat|Orthodox|No Stat|0.00|0%|0.00|100%|0.00|0%|0%|0.0
Igor Vovchanchyn|55|10|0|"5' 8"""|205 lbs.|No Stat|Orthodox|Aug 06, 1973|1.59|49%|0.97|63%|1.19|66%|50%|0.5
Xie Bin|8|3|0|"5' 10"""|145 lbs.|"72"""|Orthodox|Feb 28, 1998|2.20|38%|2.60|63%|4.00|44%|0%|0.0
Marcin Tybura|22|7|0|"6' 3"""|249 lbs.|"78"""|Orthodox|Nov 09, 1985|3.65|49%|3.44|54%|1.54|32%|82%|0.1
Austin Tweedy|8|2|0|"5' 9"""|155 lbs.|No Stat|Orthodox|Sep 25, 1990|4.29|66%|6.43|0%|0.00|0%|0%|0.0
Mark Vorgeas|5|3|1|"5' 10"""|135 lbs.|No Stat|No Stat|No Stat|3.87|32%|4.19|51%|0.00|0%|50%|0.8
Damonte Robinson|6|1|1|"6' 0"""|155 lbs.|"77"""|No Stat|Jun 10, 1995|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Alex Soto|8|3|1|"5' 8"""|135 lbs.|No Stat|Southpaw|Feb 15, 1984|2.95|25%|5.02|59%|2.82|30%|0%|0.0
Kain Royer|2|2|0|No Stat|185 lbs.|No Stat|No Stat|No Stat|0.00|0%|1.63|14%|0.00|0%|0%|4.1
Sarah Payant|1|4|0|"5' 4"""|115 lbs.|No Stat|No Stat|No Stat|0.29|16%|2.06|30%|0.00|0%|0%|0.0
Estevan Payan|16|12|0|"5' 10"""|145 lbs.|No Stat|Orthodox|Mar 14, 1982|4.25|42%|3.58|57%|0.36|100%|60%|0.4
Yves Jabouin|20|11|0|"5' 7"""|135 lbs.|"68"""|Orthodox|May 30, 1979|3.06|41%|2.93|62%|1.94|60%|82%|0.1
Cristiane Justino|21|2|0|"5' 8"""|145 lbs.|"68"""|Orthodox|Jul 09, 1985|7.28|52%|2.25|64%|0.66|55%|94%|0.4
Rory Singer|11|9|0|"6' 2"""|185 lbs.|"77"""|Orthodox|May 28, 1976|2.55|39%|2.42|63%|0.39|25%|64%|0.8
Steve Kozola|8|0|0|No Stat|155 lbs.|No Stat|No Stat|No Stat|3.90|39%|4.36|50%|2.34|100%|100%|0.0
Mike Kyle|22|14|1|"6' 4"""|205 lbs.|"77"""|Orthodox|Mar 31, 1980|3.93|51%|3.35|49%|1.33|62%|50%|0.8
Pannie Kianzad|16|6|0|"5' 7"""|135 lbs.|"66"""|Orthodox|Dec 08, 1991|5.34|49%|4.35|53%|0.31|22%|77%|0.1
Jarrod Kwitty|2|2|0|"5' 8"""|185 lbs.|No Stat|No Stat|No Stat|0.53|50%|4.40|32%|8.00|50%|0%|2.0
