Fighter ID|Gender|Fighter Name|Wins|Loses|Draws|Avg.Time(in Mins)|Height|Weight|Reach|Stance|DOB|SLpM|Str.Acc.|SApM|Str. Def.|TD Avg.|TD Acc.|TD Def.|Sub. Avg.
d29b5c4f22c6357d|male|Gilbert Yvel|39|16|1|6.305555555555556|"6' 2"""|225 lbs.|"77"""|Orthodox|Jun 30, 1976|1.05|0.47|1.78|0.5|0.0|0.0|0.25|1.0
0c277f3ff66b0208|male|Virgil Zwicker|15|6|1|0.0|"6' 2"""|205 lbs.|"74"""|NaN|Jun 26, 1982|3.34|0.48|4.87|0.39|1.31|0.3|0.5|0.0
94426bb170c88115|male|Sodiq Yusuff|11|2|0|10.293333333333333|"5' 9"""|145 lbs.|"71"""|Orthodox|May 19, 1993|5.43|0.48|3.46|0.58|0.0|0.0|0.68|0.5
7929be8290289a47|male|Igor Vovchanchyn|55|10|0|0.0|"5' 8"""|205 lbs.|NaN|Orthodox|Aug 06, 1973|1.59|0.49|0.97|0.63|1.19|0.66|0.5|0.5
ef0344ed552d8a22|male|Mark Vorgeas|5|3|1|0.0|"5' 10"""|135 lbs.|NaN|NaN|NaN|3.87|0.32|4.19|0.51|0.0|0.0|0.5|0.8
b1669a810fae4220|male|Yusup Saadulaev|16|4|1|0.0|"5' 6"""|135 lbs.|NaN|NaN|Mar 31, 1985|0.57|0.45|0.96|0.66|5.73|0.6|0.0|1.0
c9cf753cfdf77fc2|male|Marcin Tybura|22|7|0|12.353333333333332|"6' 3"""|249 lbs.|"78"""|Orthodox|Nov 09, 1985|3.65|0.49|3.44|0.54|1.54|0.32|0.82|0.1
42078a86d3dd037b|male|Rob Yundt|9|5|0|2.55|"6' 1"""|185 lbs.|NaN|Orthodox|May 05, 1980|1.37|0.41|2.55|0.31|2.94|1.0|0.0|0.0
20bcc9966affb19c|male|Jake O'Brien|15|4|0|9.985714285714286|"6' 3"""|205 lbs.|"76"""|Orthodox|Sep 25, 1984|1.31|0.31|1.92|0.69|6.39|0.54|0.25|0.2
c278e8843b8abfec|female|Charon Spain|14|26|0|0.0|"5' 9"""|155 lbs.|NaN|NaN|Mar 11, 1988|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
885adaff8fe15cf7|male|Austin Tweedy|8|2|0|0.0|"5' 9"""|155 lbs.|NaN|Orthodox|Sep 25, 1990|4.29|0.66|6.43|0.0|0.0|0.0|0.0|0.0
5b1b383265433f51|male|Casey Ryan|7|3|0|0.0|NaN|185 lbs.|NaN|NaN|NaN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
c1085e1701b13eca|male|Joe Pyfer|7|2|0|0.0|"6' 2"""|185 lbs.|"75"""|Orthodox|Sep 17, 1996|2.76|0.48|3.68|0.23|3.45|1.0|0.0|0.0
f5990c11974d8e9c|male|Mike Pyle|27|14|1|7.901754385964912|"6' 0"""|170 lbs.|"74"""|Orthodox|Sep 18, 1975|2.74|0.45|2.84|0.6|1.8|0.35|0.7|1.5
edfe95e3c33a4bf8|male|Adam Lynn|17|10|0|0.0|"5' 10"""|155 lbs.|NaN|Orthodox|NaN|1.47|0.63|6.95|0.1|0.0|0.0|0.5|0.0
710d93f1508f7104|male|Stevie Lynch|5|2|0|2.8333333333333335|"5' 10"""|170 lbs.|NaN|Orthodox|NaN|2.47|0.25|7.06|0.41|0.0|0.0|0.0|0.0
91acd6910b802a9e|male|Chris Lytle|31|18|5|10.799166666666668|"5' 11"""|170 lbs.|"68"""|Orthodox|Aug 18, 1974|3.76|0.45|3.03|0.58|0.7|0.55|0.55|2.4
2719f300b0439039|male|Ho Bae Myeon|13|5|1|0.0|"5' 11"""|168 lbs.|NaN|Orthodox|NaN|3.16|0.16|3.16|0.83|0.0|0.0|0.0|0.0
ef61d9f5176b3200|male|Will Kerr|9|3|0|0.0|"5' 10"""|155 lbs.|"69"""|Orthodox|Oct 21, 1982|1.91|0.42|6.22|0.33|0.0|0.0|0.0|14.3
28c55b4087a6f136|male|Elvis Mutapcic|15|6|1|12.816666666666668|"6' 0"""|185 lbs.|"72"""|Orthodox|Jul 19, 1986|3.41|0.4|4.27|0.38|0.0|0.0|0.81|0.0
dd6103dd7127db1d|male|Mike Malott|7|1|1|0.0|"6' 1"""|170 lbs.|"73"""|Orthodox|Nov 07, 1991|4.41|0.35|4.35|0.53|1.92|0.33|0.0|1.0
062e57ca1a3c95a8|female|Fiona Muxlow|6|3|0|0.0|"5' 4"""|145 lbs.|NaN|NaN|May 13, 1977|1.44|0.27|5.45|0.34|0.0|0.0|0.0|0.0
98a6b2361045898f|male|Dong Hyun Ma|16|11|3|10.337499999999999|"5' 11"""|155 lbs.|"70"""|Orthodox|Sep 09, 1988|2.84|0.41|4.1|0.54|1.27|0.53|0.33|0.0
f4c40f8a64d3151d|male|Max Mustaki|6|3|0|0.0|"6' 0"""|155 lbs.|NaN|Orthodox|Nov 07, 1987|8.2|0.5|13.0|0.45|0.0|0.0|0.0|0.0
31d7446b184e3305|male|Magomed Mustafaev|14|4|0|7.25|"5' 8"""|155 lbs.|"71"""|Orthodox|Aug 02, 1988|2.59|0.58|2.68|0.41|3.31|0.5|0.23|0.4
a7b48e18ca27795d|male|Mark Kerr|15|11|0|1.2916666666666665|"6' 3"""|266 lbs.|NaN|Switch|Dec 21, 1968|0.28|0.41|0.89|0.28|2.92|0.77|0.0|0.4
d0d43cb9b14f231c|male|Andre Mussi|11|5|0|0.0|"6' 3"""|242 lbs.|NaN|Orthodox|NaN|0.0|0.0|10.59|0.35|0.0|0.0|0.0|0.0
d0147e906106cd2e|male|Jesse Murray|8|4|0|0.0|"6' 3"""|205 lbs.|"78"""|Orthodox|Jan 26, 1993|2.38|0.28|7.72|0.43|0.0|0.0|0.0|0.0
e90a2f22417af68e|male|Azamat Murzakanov|10|0|0|0.0|"5' 10"""|225 lbs.|"71"""|Southpaw|Apr 12, 1989|3.0|0.52|1.33|0.63|0.0|0.0|0.0|0.0
8b5f9ea38184ded3|male|Nicholas Musoke|13|5|0|12.955555555555556|"6' 0"""|170 lbs.|"75"""|Orthodox|Apr 05, 1986|3.56|0.35|3.8|0.57|1.16|0.19|0.82|0.2
38fccd44d669bb2f|male|Jack Morrison|0|3|0|0.0|"5' 11"""|205 lbs.|NaN|NaN|NaN|0.0|0.0|19.31|0.4|0.0|0.0|0.0|0.0
231cae8b77fbbcc1|male|Khalid Murtazaliev|14|2|0|10.0|"6' 0"""|185 lbs.|"76"""|Orthodox|Jul 15, 1993|4.8|0.69|0.4|0.78|7.5|1.0|0.33|0.0
32016899d0a222a3|male|Lee Murray|8|2|1|1.75|"6' 3"""|185 lbs.|NaN|Orthodox|Sep 12, 1977|0.36|0.15|3.28|0.32|0.9|1.0|0.42|1.8
396fe87b84ac2e1c|male|Lerone Murphy|11|0|1|9.883333333333333|"5' 9"""|145 lbs.|"73"""|Orthodox|Jul 22, 1991|2.58|0.42|1.9|0.62|0.76|0.33|0.36|0.8
729d4bd5a6cd0a97|female|Lauren Murphy|15|5|0|14.516666666666666|"5' 5"""|125 lbs.|"67"""|Orthodox|Jul 27, 1983|3.58|0.38|4.35|0.59|1.03|0.34|0.65|0.1
de25520d54eab12d|male|Ian Murphy|1|1|0|0.0|"6' 1"""|185 lbs.|NaN|Orthodox|Jun 14, 1985|0.0|0.0|1.93|0.3|4.13|1.0|0.0|0.0
4b90384d7c3519b8|male|Vince Murdock|12|4|0|0.0|"5' 6"""|145 lbs.|"64"""|Orthodox|Mar 21, 1991|1.21|0.21|7.17|0.4|0.0|0.0|0.0|0.0
e0b0cf71e0d69dd0|female|Kanako Murata|12|2|0|12.5|"5' 1"""|115 lbs.|"62"""|Orthodox|Aug 10, 1993|2.08|0.59|2.6|0.53|2.4|0.4|0.0|1.2
e3a6c6d6d0ac0815|male|Ryuichi Murata|8|3|1|0.0|"5' 8"""|183 lbs.|NaN|Orthodox|NaN|0.84|0.36|1.89|0.5|4.74|0.5|1.0|3.2
eca7e064746c161a|male|Patrick Murphy|5|3|0|0.0|"6' 0"""|170 lbs.|NaN|NaN|NaN|3.4|0.66|0.8|0.42|0.0|0.0|0.5|1.0
fd0b4e3eb18eafb7|male|Andy Murad|15|2|0|0.0|"5' 9"""|185 lbs.|NaN|NaN|NaN|2.6|0.76|2.87|0.32|1.0|0.2|0.42|0.0
f8f1ec513bcfef43|male|Alexander Munoz|6|2|0|15.0|"5' 9"""|155 lbs.|"72"""|Switch|Feb 27, 1990|3.96|0.43|5.49|0.52|3.0|0.39|0.0|0.0
179f1948dc234f1f|male|Mark Munoz|14|6|0|8.701111111111112|"6' 0"""|185 lbs.|"71"""|Orthodox|Feb 09, 1978|3.12|0.51|2.26|0.57|3.17|0.29|0.57|0.6
62918a2118de08b2|male|Tom Murphy|8|0|0|11.983333333333334|"6' 2"""|227 lbs.|NaN|Southpaw|Nov 19, 1974|2.5|0.71|0.17|0.84|7.51|0.85|0.0|2.5
886264a0c9f4ea5e|male|Andre Muniz|22|4|0|6.225|"6' 1"""|185 lbs.|"78"""|Southpaw|Feb 17, 1990|2.18|0.57|1.82|0.47|3.6|0.4|0.45|2.9
ea7e5bc78d9de658|male|Makhmud Muradov|25|7|0|12.2375|"6' 2"""|185 lbs.|"75"""|Orthodox|Feb 08, 1990|5.39|0.42|3.17|0.61|0.31|0.16|0.8|0.3
1b5c146ee7b86e34|male|Jon Murphy|6|4|0|0.0|"6' 3"""|260 lbs.|NaN|Orthodox|Aug 09, 1977|3.93|0.66|8.85|0.43|0.0|0.0|0.0|0.0
1a49e0670dfaca31|male|Jim Mullen|0|2|0|8.033333333333333|"6' 1"""|215 lbs.|NaN|Southpaw|NaN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
cfbccfed4e4796fe|male|Kazunari Murakami|5|5|0|0.0|"6' 1"""|220 lbs.|NaN|Orthodox|Nov 29, 1973|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
af9f42e6894047fc|female|Jamie Mullarkey|14|4|0|9.654166666666667|"6' 0"""|155 lbs.|"74"""|Orthodox|Aug 17, 1994|3.03|0.4|4.45|0.45|3.5|0.32|0.66|0.4
8d5350fa18b79e9a|male|James Mulheron|11|2|0|15.0|"5' 10"""|243 lbs.|"73"""|Orthodox|Feb 20, 1988|2.4|0.31|3.47|0.42|0.0|0.0|0.25|0.0
c3dd69333eb8085a|male|Olivier Murad|6|0|0|0.0|"5' 10"""|145 lbs.|"72"""|Southpaw|Dec 21, 1993|2.6|0.36|2.2|0.61|1.0|1.0|0.55|0.0
16af2d5a6f28bee2|male|Quinn Mulhern|18|4|0|9.041666666666666|"6' 3"""|155 lbs.|NaN|Orthodox|Sep 20, 1984|1.48|0.28|2.09|0.51|1.36|0.2|0.33|0.0
